AQA Spec ref.,Unit,Topic,Number of Questions,GCSE Book Page number,Number of Hexagons,Link,What type of question will the student face,What will the student achieve by completing this board,What skills will the student need to know to successfully complete each board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maths,Maths,Standard Form,38, 5-6,4,https://isaacphysics.org/s/VJxD7r,Hexagons 2.2-2.5 are multiple choice questions and hexagon 2.6 requires a numeric answer.,Improve students understanding and use of Standard Form. Involves converting to and from standard form.,"Aimed at all students, it will require students to handle large and small numbers.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maths,Maths,Rearranging Equations,16, 8,3 ,https://isaacphysics.org/s/kPqqmT,All questions require the formula builder. All hexagons are ‘drill’ style questions.,"Students required to manipulate commonly used GCSE equations including E=mgh, transformer rule and refraction index formulae",Need to know the basic rules with regards to rearrangement including rooting and squaring numbers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maths,Maths,Converting Units,29,2 , 3,https://isaacphysics.org/s/QC39gh,Hexagon 1.1 is multiple choice. Hexagons 1.2+3 require students to calculate their answers.,Students to develop a solid understanding and confidence of converting between units.  ,Questions are all phrased simply e.g. convert 240cm to metres.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maths,Maths,Converting Units (Time),12,3 , 3,https://isaacphysics.org/s/oWguzV,All questions require students to input an answer.,"Students will develop confidence converting from a range of times into seconds. E.g. 4min to seconds. Also, how many seconds are in a minute, hour, day and year.",Hexagon 1.11 and 1.12 will be straightforward for most.  Students will need an understanding of standard form and an understanding of prefixes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maths,Maths,Proportionality,6, 17-19,3 ,https://isaacphysics.org/s/UFvWkG,Hexagon 7.1 ‘drill’ questions. Hexagon 7.9 and 7.10 are worded questions.,Students will develop confidence of using and understanding such words as inversely proportional.,Depending on the students’ confidence with maths and proportionality all students may struggle initially with the concept. Hexagon 7.9 and 7.10 will stretch most students. Hexagon 7.1 to act as a confidence builder.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maths,Maths,Straight Line Graphs,8, 14-15, 2,https://isaacphysics.org/s/8ie4Gw,Assess basic understanding of ability to read and interpret graphs,To develop basic graph skills especially calculating gradients.,This should be a relatively straightforward task for all students. Challenges may come from the requirement to calculate the gradient at multiple places on one graph.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maths ,Maths ,Converting Units (Hard),16,3 ,3,https://isaacphysics.org/s/zmknoh,All questions are drill style questions.,This is often beyond the scope of most GCSE exams (though within current specifications). Students will feel comfortable moving between units as well as recalling on the ability to use standard form or give answers in standard form.,Students may find these challenging.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,Energy,Specific Heat Capacity (formula practice),12,92 ,1 ,https://isaacphysics.org/s/mg433N,Pure drill practice questions. ,Develop the students’ ability and confidence at using the Thermal Energy Transfer equation (often referred to as the Specific Heat Capacity formula). Also will develop ability to convert between units and standard form.,Students will need to be able to rearrange an equation and convert between grams/kilograms as well as joules/kilojoules.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,Energy,Specific Heat Capacity (hard),10, 92-94,8,https://isaacphysics.org/s/aJhgfN,10 worded problem questions that require the students to apply their ability of using the equation.,All the questions are more exam style questions. The aim is to develop the students’ ability to extract information from the question and apply the formula correctly. Questions will also require students to find the change in temperature.,"Students will need to be able to rearrange the formula as well as density and power formula. Also, students will need to apply a multi formula approach.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
