AQA Spec ref.,Unit,Topic,Number of Questions,GCSE Book Page number,Number of Hexagons,Link,What type of question will the student face,What will the student achieve by completing this board,What skills will the student need to know to successfully complete each board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maths,Maths,Standard Form,38, 5-6,4,https://isaacphysics.org/board/85643e7a-7139-425a-b329-01b3330f6cd3,Hexagons 2.2-2.5 are multiple choice questions and hexagon 2.6 requires a numeric answer.,Improve students understanding and use of Standard Form. Involves converting to and from standard form.,"Aimed at all students, it will require students to handle large and small numbers.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maths,Maths,Rearranging Equations,16, 8,3 ,https://isaacphysics.org/board/6cfaab54-a011-4c13-8a04-2535d122a080,All questions require the formula builder. All hexagons are ‘drill’ style questions.,"Students required to manipulate commonly used GCSE equations including E=mgh, transformer rule and refraction index formulae",Need to know the basic rules with regards to rearrangement including rooting and squaring numbers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maths,Maths,Converting Units,29,2 , 3,https://isaacphysics.org/board/77238846-0184-4d09-88da-f48cd725d6cd,Hexagon 1.1 is multiple choice. Hexagons 1.2+3 require students to calculate their answers.,Students to develop a solid understanding and confidence of converting between units.  ,Questions are all phrased simply e.g. convert 240cm to metres.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maths,Maths,Converting Units (Time),12,3 , 3,https://isaacphysics.org/board/d07f7903-1025-4628-b520-5527ae59effd,All questions require students to input an answer.,"Students will develop confidence converting from a range of times into seconds. E.g. 4min to seconds. Also, how many seconds are in a minute, hour, day and year.",Hexagon 1.11 and 1.12 will be straightforward for most.  Students will need an understanding of standard form and an understanding of prefixes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maths,Maths,Proportionality,6, 17-19,3 ,https://isaacphysics.org/board/5b77ff4d-fc58-44b8-af41-2f82f0bfbbcb,Hexagon 7.1 ‘drill’ questions. Hexagon 7.9 and 7.10 are worded questions.,Students will develop confidence of using and understanding such words as inversely proportional.,Depending on the students’ confidence with maths and proportionality all students may struggle initially with the concept. Hexagon 7.9 and 7.10 will stretch most students. Hexagon 7.1 to act as a confidence builder.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maths,Maths,Straight Line Graphs,8, 14-15, 2,https://isaacphysics.org/board/d386a391-775d-4197-92dd-ccab45983991,Assess basic understanding of ability to read and interpret graphs,To develop basic graph skills especially calculating gradients.,This should be a relatively straightforward task for all students. Challenges may come from the requirement to calculate the gradient at multiple places on one graph.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maths ,Maths ,Converting Units (Hard),16,3 ,3,https://isaacphysics.org/board/31506973-6ae6-4bad-ad88-db4e805fea8b,All questions are drill style questions.,This is often beyond the scope of most GCSE exams (though within current specifications). Students will feel comfortable moving between units as well as recalling on the ability to use standard form or give answers in standard form.,Students may find these challenging.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,Energy,Specific Heat Capacity (formula practice),12,92 ,1 ,https://isaacphysics.org/board/5d7bf2f6-37d9-477b-8e58-e0b797e550bc,Pure drill practice questions. ,Develop the students’ ability and confidence at using the Thermal Energy Transfer equation (often referred to as the Specific Heat Capacity formula). Also will develop ability to convert between units and standard form.,Students will need to be able to rearrange an equation and convert between grams/kilograms as well as joules/kilojoules.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,Energy,Specific Heat Capacity (hard),10, 92-94,8,https://isaacphysics.org/board/b8406b94-c749-4bac-9220-e7a6850357c5,10 worded problem questions that require the students to apply their ability of using the equation.,All the questions are more exam style questions. The aim is to develop the students’ ability to extract information from the question and apply the formula correctly. Questions will also require students to find the change in temperature.,"Students will need to be able to rearrange the formula as well as density and power formula. Also, students will need to apply a multi formula approach.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,Energy,Work Done and Power,10, 101,2 ,https://isaacphysics.org/board/1dba24a8-5103-4830-8cea-2cd4ead337f0,Hexagon 33.1 pure drill formulae practice. Hexagon 33.2 requires students to comprehend a written question.,Students to develop confidence using and rearranging the work done and power equations. As well as application of these formulae to a worded problem.,Students will be need to be able to convert between units e.g. cmàm as well as rearrange both work done and power formulae.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,Energy,"Work Done, GPE, Power (challenging)",10, 102-103,6 ,https://isaacphysics.org/board/d7826796-4485-418f-8304-5c5e3151e257,Each hexagon is a worded problem.,"Students will be able to do GPE, Work Done, and Power calculations confidently. ","Rearrangement, conversion between mass and prefixes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,Energy,GPE and Kinetic Energy,10,105 , 5,https://isaacphysics.org/board/3097c6b7-2e87-4f7e-a72f-695f243c7ed6,Simple worded problems,Students will link GPE and Kinetic Energy and understand how changing a variable will affect another.,"Rearrangement of formula, proportionality, conversion of units.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,Energy,Kinetic Energy (Challenging),3,106 , 3,https://isaacphysics.org/board/21e16279-59bc-4baa-8ba5-b1affbfbf4c1,"More lengthy worded problems, as well as using more than one step to solve problems. ","Although stated in the question, students will develop their approach with using more than one equation to solve a problem – which is often the 4-6-mark question.  ","Understanding of prefixes and the kinetic energy formula, ability to express answers as percentages.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,Energy,Efficiency Calculations,11,108 ,4 ,https://isaacphysics.org/board/c1fd2ba1-5750-44bc-8b1b-a616fc1c64ca,2 worded problems (Hexagon 35.1 and 35.2) and 8 drill practice questions (Hexagon 35.4). ,"Improve their ability at rearranging the efficiency formula. Also, using more than one formula to solve problems.","Knowledge of work done formulae, basic ability to rearrange formulae.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,Energy,Efficiency Calculations (Challenging),9, 108-109, 4,https://isaacphysics.org/board/394d6fa8-5654-4838-a73a-4d4f77ef609b,Worded questions are phrased in a way that may challenge most students to understand how to go about solving the problem. ,Students will increase their ability to comprehend exam style questions. ,"Conversion of percentages back into decimals, conversion of units and basic use of efficiency calculation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,Energy,Power and Energy in the Human Body (Challenging),10, 111-112, 4,https://isaacphysics.org/board/0ce6b4d5-7e62-427b-8ded-5e3d2b8e234c,Worded problems that are structured in the beginning but do rise in difficulty. ,"Students will develop their ability to pick out key information and use multiples of basic energy e.g. if 1 brick requires 10J of work, calculate total work to move 100 bricks.","Use of work done, power formula. Rearrangement and substitution of both.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,Energy,Elastic Potential Energy ,10, 113-113,2 ,https://isaacphysics.org/board/e2f00cfe-1b6a-4cd8-8bae-61813737007f, Straightforward worded problems. ,Improve confidence and ability when calculating the energy stored in an elastic system.,"Conversion between cm & mmàm, Rearrangement of elastic potential energy formula.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,Electricity,Charge and Current,11,67 - 68 , 3,https://isaacphysics.org/board/1c9cde37-625c-401e-9230-d736b65598cc,Hexagon 22.4 is a straightforward drill practice table to complete. Hexagon 22.6 and 22.5 are worded questions. ,Using Q = It and improving students understanding of the term charge flow.,"Conversion between time (minutes à seconds), ability to understand standard form, as well as rearrangement of Q=It.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
