"File created on Wednesday, 3rd May 2017.",,,,,,,,,,,,,,,,,,,,,
Question Name,URL:,Replaced?,Book Name,"University Preparation? (FastTrack)",Subject,Level,Field,Topic,Lesson,Pre-made Board,Number of Parts,Contains Show/Hide Q?,Contains Multi Choice Q?,Contains Numeric Q?,Contains Symbolic Q?,Has Hints?,Has Video?,Has Diagram?,Related Concepts,Related Questions,Notes
A Capacitive Conundrum,https://isaacphysics.org/questions/a_capacitor_conundrum,,,N,Physics,4,Circuits,Capacitors,,,1,N,N,Y,N,Y,N,N,"Capacitors, Kirchhoff's Laws, Ohm's Law","A Mass Spectrometer, Balancing Forces on an Electron, Corkscrewing Particle, Deflection of a Charged Particle, Fire up the Cyclotron!, Helical Pitch, Inkjet Printing, Liquid Pool, Vectors in Fields, Where do the Charges Go?",
Body capacitance,https://isaacphysics.org/questions/body_capacitance,,,N,Physics,4,Circuits,Capacitors,,,4,Y,N,Y,N,Y,N,N,"Capacitors, Ohm's Law, Power",,
Capacitor Combinations,https://isaacphysics.org/questions/capacitor_combinations,,,N,Physics,4,Circuits,Capacitors,,,2,N,Y,N,N,Y,N,N,Capacitors (Equivalent Capacitance),"Charging a Falling Sphere, Deflection of a Charged Particle, Drops of Oil, Electric Potential, Field between Parallel Plates, Force in a Uniform E Field, Gradient of Potential Energy, Liquid Pool, Oil Drop Experiment, Potential Difference, Properties of an Electric Field , Semicircular Paths, Vectors in Fields, Where do the Charges Go?",
Capacitor on Hooke's,https://isaacphysics.org/questions/capacitor_on_hookes,,,N,Physics,4,Circuits,Capacitors,,,3,N,Y,N,N,Y,Y,N,"Capacitors, Electrical Cell, Hooke's Law","A Devious Diode, A Diode Divider, A Fuse Problem, Cool Coulometers, Motor Efficiency",
Characteristic Time for Capacitors,https://isaacphysics.org/questions/capacitor_time,,,N,Physics,4,Circuits,Capacitors,,,1,N,Y,N,N,Y,N,N,Discharging Capacitors,Gaseous Gases,
Discharging Capacitor,https://isaacphysics.org/questions/discharging_capacitor,,,N,Physics,4,Circuits,Capacitors,,,4,N,N,Y,N,Y,N,N,"Capacitors, Ohm's Law, Power",,
Discharging Capacitor,https://isaacphysics.org/questions/discharging_capacitor_sym,,,N,Physics,4,Circuits,Capacitors,,,4,N,N,N,Y,Y,N,N,"Capacitors, Ohm's Law, Power",,
Equivalent Capacitance,https://isaacphysics.org/questions/equivalent_capacitance,,,N,Physics,4,Circuits,Capacitors,,,3,N,N,Y,N,Y,N,Y,Capacitors,,
Equivalent Capacitance,https://isaacphysics.org/questions/equivalent_capacitance_sym,,,N,Physics,4,Circuits,Capacitors,,,3,N,N,N,Y,Y,N,Y,Capacitors,,
How Many Capacitors?,https://isaacphysics.org/questions/how_many_capacitors,,,N,Physics,4,Circuits,Capacitors,,,2,N,N,Y,N,Y,N,Y,"Capacitors, Kirchhoff's Voltage Law",,
Potentiometer Circuit with Capacitor,https://isaacphysics.org/questions/potentiometer_capacitor,,,N,Physics,4,Circuits,Capacitors,,,3,N,N,Y,N,Y,N,N,"Capacitors, Electrical Cell, Ohm's Law, Power, Work",,
Charging two capacitors,https://isaacphysics.org/questions/two_capacitor_problem,,,N,Physics,4,Circuits,Capacitors,,,5,N,Y,Y,N,Y,N,Y,"Capacitors, Kirchhoff's Laws",,
Variable Capacitor,https://isaacphysics.org/questions/variable_capacitor,,,N,Physics,4,Circuits,Capacitors,,,1,N,N,Y,N,Y,N,N,"Capacitors, Electric Current",,
Variable Capacitor,https://isaacphysics.org/questions/variable_capacitor_sym,,,N,Physics,4,Circuits,Capacitors,,,1,N,N,N,Y,Y,N,N,"Capacitors, Electric Current",,
Capacitive Touchscreen,https://isaacphysics.org/questions/capacitive_touchscreen,,,N,Physics,5,Circuits,Capacitors,,,2,N,N,Y,N,Y,N,N,"Capacitors, Electric Current, Kirchhoff's Laws",,
Capacitor & Diode Rectifier,https://isaacphysics.org/questions/capacitor_diode_rectifier,,,N,Physics,5,Circuits,Capacitors,,,1,N,N,Y,N,Y,N,Y,"Alternating Current, Capacitors, Electric Current, Electrical Components, Kirchhoff's Laws, Ohm's Law",,
Capacitor Energy Bank,https://isaacphysics.org/questions/capacitor_energy_bank,,,N,Physics,5,Circuits,Capacitors,,,1,N,N,Y,N,Y,N,N,"Capacitors, Resistors, Kirchhoff's Laws, Ohm's Law",,
Cube of Capacitors,https://isaacphysics.org/questions/cube_of_capacitors,,,N,Physics,5,Circuits,Capacitors,,,1,N,N,Y,N,Y,N,N,"Capacitors (Equivalent Capacitance), Kirchhoff's Laws",,
An Oscillating Capacitor,https://isaacphysics.org/questions/oscillating_capacitor,,,N,Physics,5,Circuits,Capacitors,,,1,N,N,Y,N,Y,N,N,"Alternating Current, Capacitors, Electric Current, Kirchhoff's Laws",,
Alternating RC Circuit,https://isaacphysics.org/questions/RC_alternating,,,N,Physics,5,Circuits,Capacitors,,,1,N,N,Y,N,Y,N,N,"Alternating Current, Capacitors, Electric Current, Kirchhoff's Laws, Ohm's Law, Phase and Phasors",,
Slowing Down A Bomb,https://isaacphysics.org/questions/slowing_down_bomb,,,N,Physics,5,Circuits,Capacitors,,,2,N,N,Y,N,Y,N,N,Discharging Capacitors,,
Slowing Down A Bomb,https://isaacphysics.org/questions/slowing_down_bomb_sym,,,N,Physics,5,Circuits,Capacitors,,,2,N,N,N,Y,Y,N,N,Discharging Capacitors,,
Square Pulse,https://isaacphysics.org/questions/square_pulse,,,N,Physics,5,Circuits,Capacitors,,,3,N,Y,Y,N,Y,N,Y,"Capacitors, Electrical Components, Kirchhoff's Laws, Ohm's Law",,
Square Wave Charging,https://isaacphysics.org/questions/square_wave_charging,,,N,Physics,5,Circuits,Capacitors,,,3,N,N,Y,N,Y,N,Y,"Capacitors, Kirchhoff's Laws",,
Two Cs and Three Rs,https://isaacphysics.org/questions/two_cs_three_rs,,,N,Physics,5,Circuits,Capacitors,,,3,N,Y,Y,N,Y,N,N,"Capacitors, Kirchhoff's Laws, Ohm's Law",Symmetric Hanging Chain,
Body Resistance,https://isaacphysics.org/questions/body_resistance,,,N,Physics,1,Circuits,General Circuits,,,4,Y,N,Y,N,Y,N,N,"Alternating Current, Electric Current, Ohm's Law",,
Old Light Bulbs,https://isaacphysics.org/questions/carbon_light,,,N,Physics,1,Circuits,General Circuits,,,1,N,Y,N,N,Y,N,N,"Bulbs, Ohm's Law",,
