"File created on Friday, 18th November 2022.",,,,,,,,,,,,,,,,,,,,,,,,,,
This information is provided as is. Please let us know of any mistakes or inaccuracies.,,,,,,,,,,,,,,,,,,,,,,,,,,
Question Name:,URL:,Book Name?,Master Maths?,Replaced?,Subject(s):,Field(s):,Topic(s):,Number of Parts:,1st Stage:,1st Difficulty:,2nd Stage:,2nd Difficulty:,Contains Show/Hide Q?,Contains Single Choice Q?,Contains Multiple Choice Q?,Contains Numeric Q?,Contains Symbolic Q?,Contains Symbolic Chemistry Q?,Contains Cloze Text Q?,Contains Reorder Items Q?,Contains Graph Sketching Q?,Has Video?,Has Diagram?,Related Questions:,Related Concepts:,Notes:
Moment of Inertia of 2 Particles,https://isaacphysics.org/questions/2part_moi,,N,,Physics,Mechanics,Circular Motion,1,Further A Level,Challenge 1,-,-,N,Y,N,N,N,N,N,N,N,Y,Y,"Moments of Inertia, Weight of a Lorry, Double Decker Bus","Centre of Mass, Moment of Inertia, Moments or Torques",
Matrices - Intersecting Lines,https://isaacphysics.org/questions/2x2_equation_1,,N,,Maths,Algebra,Matrices,12,Further A Level,Practice 3,University,Practice 2,N,N,N,Y,Y,N,N,N,N,N,N,,,
Matrices - Linear Equations 1,https://isaacphysics.org/questions/3x3_equation_1,,N,,Maths,Algebra,Matrices,12,Further A Level,Practice 3,University,Practice 2,N,N,N,Y,Y,N,N,N,N,N,N,,,
Matrices - Linear Equations 2,https://isaacphysics.org/questions/3x3_equation_2,,N,,Maths,Algebra,Matrices,8,Further A Level,Practice 3,University,Practice 2,N,N,N,Y,Y,N,N,N,N,N,N,,,
Matrices - Linear Equations 3,https://isaacphysics.org/questions/3x3_equation_3,,N,,Maths,Algebra,Matrices,11,Further A Level,Challenge 1,University,Practice 2,N,N,N,N,Y,N,N,N,N,N,N,,,
Matrices - Transformations 1,https://isaacphysics.org/questions/3x3_transform_1,,N,,Maths,Algebra,Matrices,10,Further A Level,Practice 1,University,Practice 1,N,N,N,N,Y,N,N,N,N,N,N,,,
Matrices - Transformations 2,https://isaacphysics.org/questions/3x3_transform_2,,N,,Maths,Algebra,Matrices,13,Further A Level,Practice 1,University,Practice 1,N,N,N,Y,Y,N,N,N,N,N,N,,,
Absent Reflection,https://isaacphysics.org/questions/absent_reflection,,N,,Physics,Waves & Particles,Superposition,1,A Level,Practice 2,-,-,N,N,N,Y,N,N,N,N,N,Y,Y,"Cosmic Reflection, Sounding Good, Microscope Slide, Smoothness Test, Thin Film Colour, Two Material Interferometer, Optical Path Difference","Reflection and Refraction, Superposition",
A Capacitive Conundrum,https://isaacphysics.org/questions/a_capacitor_conundrum,,N,,Physics,Electricity,Capacitors,1,A Level,Challenge 2,-,-,N,N,N,Y,N,N,N,N,N,N,N,"Body Capacitance, Current and Resistance, Two Cs and Three Rs","Capacitors, Kirchhoff's Laws, Ohm's Law",
Accelerating Particles,https://isaacphysics.org/questions/accelerating_voltage_diff,,N,,Physics,Fields,Electric Fields,5,A Level,Challenge 2,-,-,N,N,N,Y,N,N,N,N,N,Y,N,"Field Between Parallel Plates, Electric Potential, Identifying Ions, Drops of Oil, Inkjet Printing, Aiming an Oscilloscope Beam","Fields, Electric Field, Field Potential, Kinetic Energy: Linear and Rotational, Conservation of Energy",
